Recency,Frequency,Monetary,recency_score,frequency_score,monetary_score,RFM_score,segment
258,6,1481.08,2,4,4,24,Unengaged
18,10,3288.0,5,5,5,55,Devoted
37,3,226.85000000000002,4,3,1,43,Loyal
47,5,2262.05,4,4,4,44,Loyal
489,1,152.2,1,1,1,11,Disinterested
45,11,6308.0,4,5,5,45,Loyal
116,6,2280.5100000000007,3,4,4,34,Loyal
166,4,1078.8500000000001,3,3,3,33,Need_attention
12,2,382.14,5,2,2,52,Loyal
11,9,6025.5,5,5,5,55,Devoted
207,12,4894.879999999999,2,5,5,25,Occasional
402,1,314.59,2,1,2,21,Disinterested
605,1,325.24000000000007,1,1,2,11,Disinterested
87,11,2250.11,3,5,4,35,Loyal
181,5,2047.5099999999998,3,4,4,34,Loyal
388,3,1711.66,2,3,4,23,Unengaged
62,5,127.90000000000002,3,4,1,34,Loyal
151,1,305.0199999999999,3,1,2,31,Infrequent
4,35,13089.94,5,5,5,55,Devoted
52,3,413.55000000000007,4,3,2,43,Loyal
77,1,349.7,3,1,2,31,Infrequent
396,1,194.94999999999996,2,1,1,21,Disinterested
303,3,419.92,2,3,2,23,Unengaged
20,2,396.91999999999996,5,2,2,52,Loyal
434,1,240.67999999999998,1,1,1,11,Disinterested
153,2,486.82000000000005,3,2,2,32,Infrequent
541,2,243.9,1,2,1,12,Disinterested
406,2,556.19,2,2,2,22,Disinterested
153,1,232.6,3,1,1,31,Infrequent
495,3,281.26000000000005,1,3,1,13,Unengaged
3,12,11435.67,5,5,5,55,Devoted
19,4,827.83,5,3,3,53,Loyal
189,1,59.5,3,1,1,31,Infrequent
459,1,258.6,1,1,1,11,Disinterested
287,4,596.9799999999999,2,3,2,23,Unengaged
4,7,3119.44,5,4,5,54,Devoted
184,3,409.04,3,3,2,33,Need_attention
440,1,11880.839999999998,1,1,5,11,Disinterested
637,1,375.5,1,1,2,11,Disinterested
65,2,1259.5,3,2,4,32,Infrequent
61,1,172.25,3,1,1,31,Infrequent
398,1,212.77999999999997,2,1,1,21,Disinterested
26,5,3114.4,4,4,5,44,Loyal
376,9,2011.82,2,5,4,25,Occasional
5,143,195640.69,5,5,5,55,Devoted
33,16,2770.73,4,5,4,45,Loyal
423,3,2020.4,1,3,4,13,Unengaged
40,1,151.3,4,1,1,41,Committed
598,2,465.53,1,2,2,12,Disinterested
157,2,764.15,3,2,3,32,Infrequent
28,13,2613.46,4,5,4,45,Loyal
448,1,161.0,1,1,1,11,Disinterested
447,1,135.18,1,1,1,11,Disinterested
320,2,425.55999999999995,2,2,2,22,Disinterested
7,9,2308.0600000000004,5,5,4,55,Devoted
9,7,1717.1899999999998,5,4,4,54,Devoted
304,2,631.1700000000001,2,2,3,22,Disinterested
269,5,3365.86,2,4,5,24,Unengaged
273,1,296.88,2,1,2,21,Disinterested
5,18,7591.75,5,5,5,55,Devoted
33,3,509.52,4,3,2,43,Loyal
220,9,1792.2600000000002,2,5,4,25,Occasional
248,2,766.4200000000001,2,2,3,22,Disinterested
410,3,743.2600000000001,2,3,3,23,Unengaged
467,1,161.35000000000002,1,1,1,11,Disinterested
283,17,8210.64,2,5,5,25,Occasional
271,1,138.28,2,1,1,21,Disinterested
34,8,1763.3,4,4,4,44,Loyal
248,2,306.55,2,2,2,22,Disinterested
17,11,2815.25,5,5,4,55,Devoted
118,4,799.9,3,3,3,33,Need_attention
38,2,741.54,4,2,3,42,Loyal
133,10,5635.41,3,5,5,35,Loyal
219,6,1209.2,2,4,3,24,Unengaged
639,1,213.01000000000002,1,1,1,11,Disinterested
51,8,1980.56,4,4,4,44,Loyal
40,2,1079.6599999999999,4,2,3,42,Loyal
30,8,1080.05,4,4,3,44,Loyal
38,16,2855.17,4,5,4,45,Loyal
437,3,724.7300000000002,1,3,3,13,Unengaged
137,2,752.6,3,2,3,32,Infrequent
221,2,610.59,2,2,2,22,Disinterested
30,1,491.86000000000007,4,1,2,41,Committed
412,2,487.03000000000003,2,2,2,22,Disinterested
510,4,6701.639999999999,1,3,5,13,Unengaged
26,13,9813.220000000001,4,5,5,45,Loyal
7,7,2766.21,5,4,4,54,Devoted
202,1,339.6,2,1,2,21,Disinterested
398,1,440.9300000000001,2,1,2,21,Disinterested
20,2,292.2,5,2,2,52,Loyal
242,5,1597.77,2,4,4,24,Unengaged
73,3,668.4300000000001,3,3,3,33,Need_attention
18,12,3131.0199999999995,5,5,5,55,Devoted
4,7,1341.6,5,4,4,54,Devoted
97,2,1156.36,3,2,3,32,Infrequent
164,2,777.36,3,2,3,32,Infrequent
415,1,176.69,1,1,1,11,Disinterested
375,2,169.79999999999998,2,2,1,22,Disinterested
97,9,2064.3500000000004,3,5,4,35,Loyal
55,11,3602.18,4,5,5,45,Loyal
290,1,296.25,2,1,2,21,Disinterested
126,7,1590.7300000000002,3,4,4,34,Loyal
289,4,2094.57,2,3,4,23,Unengaged
153,3,447.04999999999995,3,3,2,33,Need_attention
5,9,2161.35,5,5,4,55,Devoted
4,23,8674.7,5,5,5,55,Devoted
676,1,195.55,1,1,1,11,Disinterested
13,15,8698.130000000001,5,5,5,55,Devoted
35,2,659.41,4,2,3,42,Loyal
56,5,1363.64,4,4,4,44,Loyal
52,6,1952.17,4,4,4,44,Loyal
220,5,2472.48,2,4,4,24,Unengaged
65,3,5217.4400000000005,3,3,5,33,Need_attention
72,6,2953.26,3,4,5,34,Loyal
655,1,352.82099999999997,1,1,2,11,Disinterested
497,1,190.35000000000002,1,1,1,11,Disinterested
4,73,33903.57,5,5,5,55,Devoted
728,2,875.97,1,2,3,12,Disinterested
4,20,5478.120000000001,5,5,5,55,Devoted
424,4,785.3700000000001,1,3,3,13,Unengaged
66,9,5728.82,3,5,5,35,Loyal
35,8,3114.22,4,4,5,44,Loyal
398,2,301.53999999999996,2,2,2,22,Disinterested
83,1,345.0,3,1,2,31,Infrequent
592,1,1049.66,1,1,3,11,Disinterested
430,2,623.98,1,2,3,12,Disinterested
2,61,49638.259999999995,5,5,5,55,Devoted
105,4,1124.4899999999998,3,3,3,33,Need_attention
517,1,161.13,1,1,1,11,Disinterested
9,3,735.82,5,3,3,53,Loyal
252,3,778.8300000000002,2,3,3,23,Unengaged
14,13,1793.72,5,5,4,55,Devoted
489,4,1542.0899999999997,1,3,4,13,Unengaged
11,14,2910.23,5,5,4,55,Devoted
430,4,542.49,1,3,2,13,Unengaged
369,6,3128.54,2,4,5,24,Unengaged
77,6,1222.5000000000002,3,4,3,34,Loyal
507,1,3.75,1,1,1,11,Disinterested
390,1,239.45999999999998,2,1,1,21,Disinterested
6,1,348.79999999999995,5,1,2,51,New
129,2,1516.0,3,2,4,32,Infrequent
68,3,383.94999999999993,3,3,2,33,Need_attention
648,1,96.0,1,1,1,11,Disinterested
548,1,126.03,1,1,1,11,Disinterested
390,4,836.2999999999998,2,3,3,23,Unengaged
501,1,289.7,1,1,2,11,Disinterested
438,3,1179.45,1,3,3,13,Unengaged
3,110,75428.87,5,5,5,55,Devoted
118,9,2803.57,3,5,4,35,Loyal
311,3,1679.56,2,3,4,23,Unengaged
68,1,324.79999999999995,3,1,2,31,Infrequent
140,19,26259.11,3,5,5,35,Loyal
257,3,1338.9099999999999,2,3,4,23,Unengaged
32,9,3208.52,4,5,5,45,Loyal
54,2,924.5999999999999,4,2,3,42,Loyal
65,1,256.38,3,1,1,31,Infrequent
369,3,422.20000000000005,2,3,2,23,Unengaged
7,5,1747.6600000000003,5,4,4,54,Devoted
307,3,679.6999999999999,2,3,3,23,Unengaged
30,3,1499.0100000000002,4,3,4,43,Loyal
185,3,814.5,3,3,3,33,Need_attention
44,3,539.0,4,3,2,43,Loyal
41,8,2765.4700000000003,4,4,4,44,Loyal
94,3,2257.32,3,3,4,33,Need_attention
24,8,7475.74,4,4,5,44,Loyal
25,2,571.6700000000001,4,2,2,42,Loyal
31,2,382.97999999999996,4,2,2,42,Loyal
431,1,61.28,1,1,1,11,Disinterested
303,6,2642.3500000000004,2,4,4,24,Unengaged
420,3,660.6500000000001,1,3,3,13,Unengaged
146,6,1410.73,3,4,4,34,Loyal
7,2,632.0,5,2,3,52,Loyal
20,7,3403.4500000000003,5,4,5,54,Devoted
34,12,3314.76,4,5,5,45,Loyal
623,2,255.59,1,2,1,12,Disinterested
178,1,189.5,3,1,1,31,Infrequent
59,3,412.05,4,3,2,43,Loyal
24,1,209.49000000000004,4,1,1,41,Committed
423,1,102.0,1,1,1,11,Disinterested
583,1,156.85000000000002,1,1,1,11,Disinterested
18,18,6615.58,5,5,5,55,Devoted
21,2,613.69,5,2,3,52,Loyal
161,2,701.36,3,2,3,32,Infrequent
578,2,324.19,1,2,2,12,Disinterested
27,7,1095.27,4,4,3,44,Loyal
401,2,620.3700000000001,2,2,3,22,Disinterested
213,2,271.24,2,2,1,22,Disinterested
7,10,1747.38,5,5,4,55,Devoted
488,1,139.95,1,1,1,11,Disinterested
418,1,651.4000000000001,1,1,3,11,Disinterested
254,1,85.0,2,1,1,21,Disinterested
60,18,5319.34,4,5,5,45,Loyal
383,1,319.75,2,1,2,21,Disinterested
13,1,361.62,5,1,2,51,New
66,1,312.98,3,1,2,31,Infrequent
26,4,1307.79,4,3,4,43,Loyal
721,1,310.71999999999997,1,1,2,11,Disinterested
94,8,3015.0,3,4,5,34,Loyal
53,5,3469.3,4,4,5,44,Loyal
131,1,1595.4800000000002,3,1,4,31,Infrequent
97,8,4606.46,3,4,5,34,Loyal
612,1,187.35000000000002,1,1,1,11,Disinterested
59,1,1090.1399999999999,4,1,3,41,Committed
10,39,11944.560000000001,5,5,5,55,Devoted
502,4,1310.3400000000001,1,3,4,13,Unengaged
170,11,1142.03,3,5,3,35,Loyal
395,6,1001.01,2,4,3,24,Unengaged
59,1,216.17000000000002,4,1,1,41,Committed
328,2,515.8600000000001,2,2,2,22,Disinterested
3,5,1245.9,5,4,4,54,Devoted
431,2,273.26,1,2,1,12,Disinterested
20,9,2556.09,5,5,4,55,Devoted
249,4,1239.55,2,3,4,23,Unengaged
388,1,662.4000000000001,2,1,3,21,Disinterested
60,4,501.56,4,3,2,43,Loyal
76,1,145.67,3,1,1,31,Infrequent
33,3,1015.29,4,3,3,43,Loyal
9,2,3192.54,5,2,5,52,Loyal
125,10,8111.57,3,5,5,35,Loyal
4,15,5712.08,5,5,5,55,Devoted
24,17,7885.85,4,5,5,45,Loyal
529,3,919.57,1,3,3,13,Unengaged
121,8,1038.92,3,4,3,34,Loyal
360,7,2049.1499999999996,2,4,4,24,Unengaged
55,14,4814.37,4,5,5,45,Loyal
65,1,122.69999999999999,3,1,1,31,Infrequent
88,3,449.68000000000006,3,3,2,33,Need_attention
56,4,2473.0600000000004,4,3,4,43,Loyal
647,1,395.50000000000006,1,1,2,11,Disinterested
23,17,4293.860000000001,4,5,5,45,Loyal
5,43,45179.1,5,5,5,55,Devoted
4,5,1191.13,5,4,3,54,Devoted
12,15,6560.0199999999995,5,5,5,55,Devoted
9,10,1888.48,5,5,4,55,Devoted
191,2,506.8,3,2,2,32,Infrequent
73,1,243.56,3,1,1,31,Infrequent
206,1,349.54999999999995,2,1,2,21,Disinterested
121,7,2169.05,3,4,4,34,Loyal
94,6,1991.2300000000002,3,4,4,34,Loyal
3,14,2927.38,5,5,5,55,Devoted
380,3,863.5600000000002,2,3,3,23,Unengaged
28,6,1267.65,4,4,4,44,Loyal
299,1,821.1000000000001,2,1,3,21,Disinterested
25,3,564.6200000000001,4,3,2,43,Loyal
30,6,4008.5199999999995,4,4,5,44,Loyal
627,1,388.55,1,1,2,11,Disinterested
52,3,1160.72,4,3,3,43,Loyal
327,2,686.4,2,2,3,22,Disinterested
18,2,388.52,5,2,2,52,Loyal
185,6,1610.5900000000001,3,4,4,34,Loyal
74,15,5676.34,3,5,5,35,Loyal
634,5,34095.26,1,4,5,14,Unengaged
402,1,165.45000000000002,2,1,1,21,Disinterested
39,2,332.64000000000004,4,2,2,42,Loyal
734,1,312.65000000000003,1,1,2,11,Disinterested
411,1,42.0,2,1,1,21,Disinterested
693,1,136.8,1,1,1,11,Disinterested
81,4,2369.55,3,3,4,33,Need_attention
425,2,286.5999999999999,1,2,1,12,Disinterested
59,20,4234.99,4,5,5,45,Loyal
425,1,124.94999999999999,1,1,1,11,Disinterested
508,1,42.22,1,1,1,11,Disinterested
13,2,626.45,5,2,3,52,Loyal
396,1,70.80000000000001,2,1,1,21,Disinterested
465,4,1275.81,1,3,4,13,Unengaged
51,2,272.03999999999996,4,2,1,42,Loyal
51,2,1212.8400000000004,4,2,3,42,Loyal
61,4,1360.68,3,3,4,33,Need_attention
433,4,1774.6799999999998,1,3,4,13,Unengaged
404,4,730.7000000000002,2,3,3,23,Unengaged
353,3,865.1999999999999,2,3,3,23,Unengaged
55,1,351.13000000000005,4,1,2,41,Committed
3,6,1838.85,5,4,4,54,Devoted
94,4,678.25,3,3,3,33,Need_attention
25,1,223.85000000000002,4,1,1,41,Committed
76,2,708.26,3,2,3,32,Infrequent
12,4,464.57,5,3,2,53,Loyal
171,11,3494.1,3,5,5,35,Loyal
59,2,337.34,4,2,2,42,Loyal
97,11,5257.379999999999,3,5,5,35,Loyal
296,1,307.4,2,1,2,21,Disinterested
111,2,608.7899999999998,3,2,2,32,Infrequent
265,1,922.0999999999999,2,1,3,21,Disinterested
598,3,6116.92,1,3,5,13,Unengaged
181,3,939.66,3,3,3,33,Need_attention
171,2,880.13,3,2,3,32,Infrequent
37,1,71.66,4,1,1,41,Committed
25,7,1560.96,4,4,4,44,Loyal
19,4,839.14,5,3,3,53,Loyal
23,15,10027.18,4,5,5,45,Loyal
536,1,320.0,1,1,2,11,Disinterested
579,1,246.54000000000002,1,1,1,11,Disinterested
655,1,200.43,1,1,1,11,Disinterested
396,2,854.1499999999999,2,2,3,22,Disinterested
81,6,1876.23,3,4,4,34,Loyal
67,1,90.6,3,1,1,31,Infrequent
362,4,548.76,2,3,2,23,Unengaged
4,6,2427.3199999999997,5,4,4,54,Devoted
13,4,745.0600000000001,5,3,3,53,Loyal
178,3,674.4499999999998,3,3,3,33,Need_attention
219,14,12823.521,2,5,5,25,Occasional
9,12,6640.679999999999,5,5,5,55,Devoted
3,2,439.92,5,2,2,52,Loyal
156,3,545.17,3,3,2,33,Need_attention
7,5,1026.42,5,4,3,54,Devoted
419,3,458.25,1,3,2,13,Unengaged
381,8,4709.23,2,4,5,24,Unengaged
81,6,1076.18,3,4,3,34,Loyal
23,2,230.22,4,2,1,42,Loyal
394,1,538.4,2,1,2,21,Disinterested
23,3,362.80000000000007,4,3,2,43,Loyal
310,17,2860.57,2,5,4,25,Occasional
389,2,438.90000000000003,2,2,2,22,Disinterested
478,3,996.61,1,3,3,13,Unengaged
437,1,390.86000000000007,1,1,2,11,Disinterested
147,2,166.3,3,2,1,32,Infrequent
425,1,123.66,1,1,1,11,Disinterested
9,35,13048.279999999999,5,5,5,55,Devoted
388,2,846.55,2,2,3,22,Disinterested
20,14,4667.57,5,5,5,55,Devoted
72,2,190.25000000000003,3,2,1,32,Infrequent
289,1,264.7,2,1,1,21,Disinterested
51,2,677.7200000000001,4,2,3,42,Loyal
33,12,5358.84,4,5,5,45,Loyal
208,4,1192.3600000000001,2,3,3,23,Unengaged
413,1,519.81,1,1,2,11,Disinterested
16,2,196.79,5,2,1,52,Loyal
75,7,3416.2300000000005,3,4,5,34,Loyal
62,5,799.9200000000001,3,4,3,34,Loyal
417,1,331.14,1,1,2,11,Disinterested
41,9,4016.99,4,5,5,45,Loyal
31,21,6779.09,4,5,5,45,Loyal
28,12,1893.8,4,5,4,45,Loyal
6,22,10020.86,5,5,5,55,Devoted
19,1,320.46000000000004,5,1,2,51,New
381,2,682.54,2,2,3,22,Disinterested
21,8,4757.8,5,4,5,54,Devoted
67,5,2026.06,3,4,4,34,Loyal
215,1,311.3,2,1,2,21,Disinterested
14,6,855.97,5,4,3,54,Devoted
32,3,219.5,4,3,1,43,Loyal
44,19,6775.71,4,5,5,45,Loyal
5,6,2313.1400000000003,5,4,4,54,Devoted
17,14,3902.01,5,5,5,55,Devoted
388,2,895.7600000000001,2,2,3,22,Disinterested
521,3,382.30999999999995,1,3,2,13,Unengaged
448,3,566.7,1,3,2,13,Unengaged
12,29,9502.26,5,5,5,55,Devoted
213,5,2046.3400000000001,2,4,4,24,Unengaged
47,9,4228.85,4,5,5,45,Loyal
136,2,529.7299999999999,3,2,2,32,Infrequent
734,1,209.41,1,1,1,11,Disinterested
45,11,6258.450000000001,4,5,5,45,Loyal
11,5,2874.72,5,4,4,54,Devoted
117,7,2196.6700000000005,3,4,4,34,Loyal
514,1,79.48,1,1,1,11,Disinterested
434,1,509.04,1,1,2,11,Disinterested
200,3,1099.9099999999999,2,3,3,23,Unengaged
567,2,445.15,1,2,2,12,Disinterested
482,2,457.82000000000005,1,2,2,12,Disinterested
279,1,328.8,2,1,2,21,Disinterested
112,5,1084.5700000000002,3,4,3,34,Loyal
79,3,1948.2100000000003,3,3,4,33,Need_attention
54,1,917.34,4,1,3,41,Committed
163,11,11403.41,3,5,5,35,Loyal
573,1,229.75000000000003,1,1,1,11,Disinterested
647,1,367.1500000000001,1,1,2,11,Disinterested
48,3,1421.61,4,3,4,43,Loyal
18,4,1249.0099999999998,5,3,4,53,Loyal
157,7,1716.58,3,4,4,34,Loyal
227,2,792.15,2,2,3,22,Disinterested
9,2,584.0699999999999,5,2,2,52,Loyal
123,3,645.7399999999999,3,3,3,33,Need_attention
466,8,4057.9,1,4,5,14,Unengaged
472,2,713.11,1,2,3,12,Disinterested
62,1,104.82000000000002,3,1,1,31,Infrequent
552,3,10396.5,1,3,5,13,Unengaged
65,2,467.66,3,2,2,32,Infrequent
20,20,7585.790000000001,5,5,5,55,Devoted
9,44,39099.100000000006,5,5,5,55,Devoted
4,16,4546.41,5,5,5,55,Devoted
557,1,109.44,1,1,1,11,Disinterested
24,3,651.8199999999999,4,3,3,43,Loyal
30,9,2856.72,4,5,4,45,Loyal
286,1,626.65,2,1,3,21,Disinterested
178,6,836.9500000000002,3,4,3,34,Loyal
80,5,3069.88,3,4,5,34,Loyal
35,2,267.28000000000003,4,2,1,42,Loyal
42,35,12645.57,4,5,5,45,Loyal
268,1,141.41,2,1,1,21,Disinterested
727,1,431.98,1,1,2,11,Disinterested
493,2,304.25,1,2,2,12,Disinterested
28,10,3123.1000000000004,4,5,5,45,Loyal
111,16,10986.63,3,5,5,35,Loyal
286,1,154.99,2,1,1,21,Disinterested
10,14,3968.11,5,5,5,55,Devoted
307,3,748.69,2,3,3,23,Unengaged
18,13,13239.029999999999,5,5,5,55,Devoted
33,2,746.3599999999999,4,2,3,42,Loyal
2,37,21810.579999999998,5,5,5,55,Devoted
21,2,480.81000000000006,5,2,2,52,Loyal
126,4,572.3,3,3,2,33,Need_attention
67,1,92.46,3,1,1,31,Infrequent
108,3,1520.96,3,3,4,33,Need_attention
3,23,8214.65,5,5,5,55,Devoted
25,22,8408.84,4,5,5,45,Loyal
464,2,469.19000000000005,1,2,2,12,Disinterested
268,1,183.6,2,1,1,21,Disinterested
6,30,8898.24,5,5,5,55,Devoted
509,3,917.43,1,3,3,13,Unengaged
11,24,25604.2,5,5,5,55,Devoted
440,9,22710.2,1,5,5,15,Occasional
31,15,3332.42,4,5,5,45,Loyal
391,3,891.02,2,3,3,23,Unengaged
268,1,152.55,2,1,1,21,Disinterested
65,2,374.7,3,2,2,32,Infrequent
322,4,1528.37,2,3,4,23,Unengaged
516,2,230.06,1,2,1,12,Disinterested
686,1,326.54999999999995,1,1,2,11,Disinterested
5,8,1438.8200000000002,5,4,4,54,Devoted
668,1,390.8500000000001,1,1,2,11,Disinterested
34,1,151.04,4,1,1,41,Committed
625,1,219.4,1,1,1,11,Disinterested
6,6,1734.87,5,4,4,54,Devoted
131,1,122.47,3,1,1,31,Infrequent
42,6,615.0799999999999,4,4,3,44,Loyal
103,9,1556.3899999999999,3,5,4,35,Loyal
126,2,618.7299999999999,3,2,3,32,Infrequent
34,5,1115.68,4,4,3,44,Loyal
304,10,4946.58,2,5,5,25,Occasional
366,2,413.36,2,2,2,22,Disinterested
6,11,1128.7800000000002,5,5,3,55,Devoted
514,1,150.5,1,1,1,11,Disinterested
4,33,9796.92,5,5,5,55,Devoted
464,1,39.95,1,1,1,11,Disinterested
4,3,846.22,5,3,3,53,Loyal
12,16,64036.8,5,5,5,55,Devoted
58,1,161.0,4,1,1,41,Committed
326,1,76.32000000000001,2,1,1,21,Disinterested
656,2,9530.080000000002,1,2,5,12,Disinterested
9,24,7229.450000000001,5,5,5,55,Devoted
14,1,442.84999999999997,5,1,2,51,New
441,1,335.2199999999999,1,1,2,11,Disinterested
724,1,2.95,1,1,1,11,Disinterested
6,17,65164.79,5,5,5,55,Devoted
483,2,422.86,1,2,2,12,Disinterested
38,1,147.34999999999997,4,1,1,41,Committed
18,20,5765.71,5,5,5,55,Devoted
139,1,194.9,3,1,1,31,Infrequent
75,13,9961.93,3,5,5,35,Loyal
7,5,1360.28,5,4,4,54,Devoted
156,5,771.5799999999999,3,4,3,34,Loyal
241,5,5988.83,2,4,5,24,Unengaged
739,1,214.79999999999998,1,1,1,11,Disinterested
53,11,4877.299999999999,4,5,5,45,Loyal
32,4,1044.9600000000003,4,3,3,43,Loyal
74,1,144.2,3,1,1,31,Infrequent
5,33,12987.95,5,5,5,55,Devoted
16,4,692.85,5,3,3,53,Loyal
24,13,5834.59,4,5,5,45,Loyal
5,16,7092.610000000001,5,5,5,55,Devoted
275,7,1364.0900000000001,2,4,4,24,Unengaged
503,2,622.67,1,2,3,12,Disinterested
21,5,1382.7399999999998,5,4,4,54,Devoted
145,1,90.0,3,1,1,31,Infrequent
430,1,458.45,1,1,2,11,Disinterested
377,2,183.37,2,2,1,22,Disinterested
5,4,2780.15,5,3,4,53,Loyal
408,3,362.41999999999996,2,3,2,23,Unengaged
735,1,436.18,1,1,2,11,Disinterested
86,1,419.58000000000004,3,1,2,31,Infrequent
12,3,2740.4300000000003,5,3,4,53,Loyal
9,4,1172.46,5,3,3,53,Loyal
124,6,1900.0800000000006,3,4,4,34,Loyal
62,3,924.21,3,3,3,33,Need_attention
3,9,2591.34,5,5,4,55,Devoted
321,4,1882.67,2,3,4,23,Unengaged
650,1,187.87,1,1,1,11,Disinterested
4,11,3586.0299999999997,5,5,5,55,Devoted
131,4,911.1399999999999,3,3,3,33,Need_attention
384,15,11123.35,2,5,5,25,Occasional
3,24,8839.67,5,5,5,55,Devoted
402,5,1570.81,2,4,4,24,Unengaged
697,1,332.7,1,1,2,11,Disinterested
3,2,982.3800000000001,5,2,3,52,Loyal
48,4,1086.8000000000002,4,3,3,43,Loyal
5,2,935.05,5,2,3,52,Loyal
4,4,915.1300000000001,5,3,3,53,Loyal
375,2,671.3399999999999,2,2,3,22,Disinterested
135,1,115.8,3,1,1,31,Infrequent
488,1,30.599999999999998,1,1,1,11,Disinterested
48,7,7600.05,4,4,5,44,Loyal
10,12,9450.3,5,5,5,55,Devoted
80,9,2590.2000000000003,3,5,4,35,Loyal
235,2,466.2900000000001,2,2,2,22,Disinterested
222,1,446.62000000000006,2,1,2,21,Disinterested
37,2,658.64,4,2,3,42,Loyal
675,2,679.45,1,2,3,12,Disinterested
77,7,1997.3400000000004,3,4,4,34,Loyal
485,1,233.39999999999998,1,1,1,11,Disinterested
241,8,6460.7,2,4,5,24,Unengaged
268,1,118.75,2,1,1,21,Disinterested
11,156,313624.17,5,5,5,55,Devoted
21,5,1002.78,5,4,3,54,Devoted
42,1,507.65999999999997,4,1,2,41,Committed
21,20,7938.01,5,5,5,55,Devoted
612,7,8421.47,1,4,5,14,Unengaged
217,7,3035.7300000000005,2,4,5,24,Unengaged
175,2,289.36,3,2,2,32,Infrequent
89,5,2594.62,3,4,4,34,Loyal
72,2,1631.7700000000004,3,2,4,32,Infrequent
277,1,122.54,2,1,1,21,Disinterested
507,2,256.85,1,2,1,12,Disinterested
41,8,1296.49,4,4,4,44,Loyal
422,2,370.45,1,2,2,12,Disinterested
432,2,624.43,1,2,3,12,Disinterested
377,3,597.3299999999999,2,3,2,23,Unengaged
100,2,498.79,3,2,2,32,Infrequent
607,3,402.7199999999999,1,3,2,13,Unengaged
12,6,586.0,5,4,2,54,Devoted
35,1,134.46,4,1,1,41,Committed
61,8,7678.879999999999,3,4,5,34,Loyal
299,5,756.46,2,4,3,24,Unengaged
88,13,2229.34,3,5,4,35,Loyal
10,7,1620.9300000000003,5,4,4,54,Devoted
42,2,719.78,4,2,3,42,Loyal
12,33,6117.5,5,5,5,55,Devoted
412,2,310.55000000000007,2,2,2,22,Disinterested
445,4,678.7700000000001,1,3,3,13,Unengaged
413,2,286.28999999999996,1,2,1,12,Disinterested
68,1,452.89,3,1,2,31,Infrequent
333,1,197.65,2,1,1,21,Disinterested
429,5,1550.6299999999999,1,4,4,14,Unengaged
475,1,123.5,1,1,1,11,Disinterested
32,6,2054.36,4,4,4,44,Loyal
4,16,5503.150000000001,5,5,5,55,Devoted
668,1,79.9,1,1,1,11,Disinterested
3,15,4817.66,5,5,5,55,Devoted
390,1,293.74,2,1,2,21,Disinterested
69,3,1210.19,3,3,3,33,Need_attention
6,36,18670.59,5,5,5,55,Devoted
203,6,2615.6,2,4,4,24,Unengaged
108,1,335.52,3,1,2,31,Infrequent
412,1,390.05,2,1,2,21,Disinterested
20,9,1569.7300000000002,5,5,4,55,Devoted
220,4,1091.7,2,3,3,23,Unengaged
619,1,379.2000000000001,1,1,2,11,Disinterested
62,10,1193.54,3,5,3,35,Loyal
383,3,847.76,2,3,3,23,Unengaged
399,1,339.34,2,1,2,21,Disinterested
4,4,1062.96,5,3,3,53,Loyal
18,9,2414.2000000000003,5,5,4,55,Devoted
241,3,1185.01,2,3,3,23,Unengaged
689,1,157.8,1,1,1,11,Disinterested
96,2,567.0500000000002,3,2,2,32,Infrequent
12,15,4993.2699999999995,5,5,5,55,Devoted
107,16,5556.57,3,5,5,35,Loyal
55,18,4402.290000000001,4,5,5,45,Loyal
91,2,2190.14,3,2,4,32,Infrequent
406,1,1192.2,2,1,3,21,Disinterested
32,5,1004.3800000000001,4,4,3,44,Loyal
13,9,3250.33,5,5,5,55,Devoted
5,5,2150.04,5,4,4,54,Devoted
3,23,3298.59,5,5,5,55,Devoted
44,1,169.48000000000002,4,1,1,41,Committed
6,3,633.83,5,3,3,53,Loyal
249,4,1515.0,2,3,4,23,Unengaged
44,17,6517.49,4,5,5,45,Loyal
179,1,683.1700000000001,3,1,3,31,Infrequent
94,3,991.1300000000001,3,3,3,33,Need_attention
112,9,1897.9,3,5,4,35,Loyal
436,4,2037.0199999999995,1,3,4,13,Unengaged
30,6,3002.5299999999997,4,4,5,44,Loyal
28,15,6368.71,4,5,5,45,Loyal
439,3,745.5,1,3,3,13,Unengaged
53,7,2594.04,4,4,4,44,Loyal
437,3,979.8000000000001,1,3,3,13,Unengaged
185,4,1235.6200000000001,3,3,4,33,Need_attention
44,5,2048.07,4,4,4,44,Loyal
51,7,2904.27,4,4,4,44,Loyal
24,4,775.4600000000003,4,3,3,43,Loyal
77,9,4717.99,3,5,5,35,Loyal
82,5,1555.3400000000001,3,4,4,34,Loyal
375,2,471.14,2,2,2,22,Disinterested
328,3,434.23,2,3,2,23,Unengaged
45,21,4263.17,4,5,5,45,Loyal
32,3,1247.4900000000002,4,3,4,43,Loyal
185,2,333.70000000000005,3,2,2,32,Infrequent
236,2,280.55,2,2,1,22,Disinterested
10,17,7217.75,5,5,5,55,Devoted
662,1,366.41999999999996,1,1,2,11,Disinterested
221,2,1693.4499999999998,2,2,4,22,Disinterested
112,3,1474.0600000000002,3,3,4,33,Need_attention
280,5,772.66,2,4,3,24,Unengaged
320,3,1032.95,2,3,3,23,Unengaged
412,12,5625.461,2,5,5,25,Occasional
